item_id,pair_id,version,item_type,family_id,family_name,construct,q_vector,prime_text,target_text,target_lemma,critical_region,critical_region_word_pos,expected_response,name_in_prime,np_type,oddness_type,error_type,target_word_count,target_char_count,prime_word_count,lemma_letters,lemma_syllables,zipf_wordfreq,cefr_j_level,aoa_kuperman,concreteness,katakana_cognate,gairaigo_mismatch,dual_violation_flag,audio_duration_ms_est,prime_duration_ms_est,list_form,run_assignment_A,run_assignment_B,trial_index_A,trial_index_B,changed_from_v2
P016G,P016,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,"Before the exam, Aiden needed writing supplies.",Aiden bought three pencils today.,pencil,three pencils,3,yes,Aiden,proper_name,,,5,33,7,6,2,3.95,C1,4.5,5.0,0,0,0,2051,2942,A,4.0,,17.0,,name: Noah→Aiden
P016U,P016,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,"Before the exam, Aiden needed writing supplies.",Aiden bought three pencil today.,pencil,three pencil,3,no,Aiden,proper_name,,,5,32,7,6,2,3.95,C1,4.5,5.0,0,0,0,2051,2942,B,,3.0,,16.0,name: Noah→Aiden
P017G,P017,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Aya decorated the room for her party.,Aya tied seven balloons quickly.,balloon,seven balloons,3,yes,Aya,proper_name,,,5,32,7,7,2,3.9,C1,4.5,5.0,2,0,0,2051,2792,A,3.0,,19.0,,verb: inflated→tied; name: Lena→Aya
P017U,P017,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Aya decorated the room for her party.,Aya tied seven balloon quickly.,balloon,seven balloon,3,no,Aya,proper_name,,,5,31,7,7,2,3.9,C1,4.5,5.0,2,0,0,2051,2792,B,,1.0,,3.0,verb: inflated→tied; name: Lena→Aya
P018G,P018,G,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Ethan prepared the birthday cake last night.,Ethan lit eight candles neatly.,candle,eight candles,3,yes,Ethan,proper_name,,,5,31,7,6,2,3.88,C1,4.5,5.0,1,0,0,2051,2792,A,3.0,,20.0,,adv: carefully→neatly; name: Emma→Ethan
P018U,P018,U,critical,F03,count_noun_plural_after_numeral,count+numeral+plural,000100,Ethan prepared the birthday cake last night.,Ethan lit eight candle neatly.,candle,eight candle,3,no,Ethan,proper_name,,,5,30,7,6,2,3.88,C1,4.5,5.0,1,0,0,2051,2792,B,,4.0,,10.0,adv: carefully→neatly; name: Emma→Ethan
P019G,P019,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"After studying medicine, Nora understood the subject deeply.",Nora gained much knowledge today.,knowledge,much knowledge,3,yes,Nora,proper_name,,,5,33,8,9,2,4.96,B1,7.5,2.0,0,0,0,2051,3312,A,4.0,,9.0,,name: Maya→Nora
P019U,P019,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"After studying medicine, Nora understood the subject deeply.",Nora gained many knowledge today.,knowledge,many knowledge,3,no,Nora,proper_name,,,5,33,8,9,2,4.96,B1,7.5,2.0,0,0,0,2051,3312,B,,1.0,,31.0,name: Maya→Nora
P020G,P020,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"Through daily practice, Kenji improved his skills regularly.",Kenji made much progress lately.,progress,much progress,3,yes,Kenji,proper_name,,,5,32,8,8,1,4.78,B1,8.5,2.5,0,0,0,2051,3312,A,3.0,,7.0,,prime: steadily→regularly; name: Owen→Kenji
P020U,P020,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"Through daily practice, Kenji improved his skills regularly.",Kenji made many progress lately.,progress,many progress,3,no,Kenji,proper_name,,,5,32,8,8,1,4.78,B1,8.5,2.5,0,0,0,2051,3312,B,,4.0,,5.0,prime: steadily→regularly; name: Owen→Kenji
P021G,P021,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"After her difficult week, Yuki wanted some relaxation.",Yuki needed much comfort recently.,comfort,much comfort,3,yes,Yuki,proper_name,,,5,34,8,7,2,4.41,B2,7.0,2.5,1,0,0,2051,3312,A,1.0,,25.0,,adv: today→recently; name: Sara→Yuki
P021U,P021,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"After her difficult week, Yuki wanted some relaxation.",Yuki needed many comfort recently.,comfort,many comfort,3,no,Yuki,proper_name,,,5,34,8,7,2,4.41,B2,7.0,2.5,1,0,0,2051,3312,B,,1.0,,19.0,adv: today→recently; name: Sara→Yuki
P022G,P022,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"Before the surgery, Noah felt extremely nervous.",Noah showed much courage yesterday.,courage,much courage,3,yes,Noah,proper_name,,,5,35,7,7,1,4.32,B2,7.5,2.0,0,0,0,2051,2942,A,4.0,,12.0,,no
P022U,P022,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"Before the surgery, Noah felt extremely nervous.",Noah showed many courage yesterday.,courage,many courage,3,no,Noah,proper_name,,,5,35,7,7,1,4.32,B2,7.5,2.0,0,0,0,2051,2942,B,,4.0,,16.0,no
P023G,P023,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"With the slow children, Mira waited calmly.",Mira showed much patience calmly.,patience,much patience,3,yes,Mira,proper_name,,,5,33,7,8,2,4.2,B2,7.0,2.0,0,0,0,2051,2942,A,1.0,,28.0,,adv: today→calmly; name: Lena→Mira
P023U,P023,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"With the slow children, Mira waited calmly.",Mira showed many patience calmly.,patience,many patience,3,no,Mira,proper_name,,,5,33,7,8,2,4.2,B2,7.0,2.0,0,0,0,2051,2942,B,,3.0,,15.0,adv: today→calmly; name: Lena→Mira
P024G,P024,G,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"For the marathon, Leo trained every single day.",Leo applied much effort briefly.,effort,much effort,3,yes,Leo,proper_name,,,5,32,8,6,2,4.92,B1,8.0,2.5,0,0,0,2051,3312,A,2.0,,29.0,,adv: yesterday→briefly; name: Emma→Leo
P024U,P024,U,critical,F04,mass_noun_many_much,abs_mass+much/many,100010,"For the marathon, Leo trained every single day.",Leo applied many effort briefly.,effort,many effort,3,no,Leo,proper_name,,,5,32,8,6,2,4.92,B1,8.0,2.5,0,0,0,2051,3312,B,,2.0,,14.0,adv: yesterday→briefly; name: Emma→Leo
P025G,P025,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"At the library, Ethan researched his topic.",Ethan borrowed many books today.,book,many books,3,yes,Ethan,proper_name,,,5,32,7,4,1,5.43,A2,3.5,5.0,1,0,0,2051,2942,A,3.0,,27.0,,name: Maya→Ethan
P025U,P025,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"At the library, Ethan researched his topic.",Ethan borrowed much books today.,book,much books,3,no,Ethan,proper_name,,,5,32,7,4,1,5.43,A2,3.5,5.0,1,0,0,2051,2942,B,,2.0,,18.0,name: Maya→Ethan
P026G,P026,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the meeting, Aiden arranged the conference room.",Aiden carried many chairs upstairs.,chair,many chairs,3,yes,Aiden,proper_name,,,5,35,8,5,1,4.69,B1,3.5,5.0,1,0,0,2051,3312,A,1.0,,21.0,,name: Owen→Aiden
P026U,P026,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the meeting, Aiden arranged the conference room.",Aiden carried much chairs upstairs.,chair,much chairs,3,no,Aiden,proper_name,,,5,35,8,5,1,4.69,B1,3.5,5.0,1,0,0,2051,3312,B,,1.0,,27.0,name: Owen→Aiden
P027G,P027,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"In her new class, Maya welcomed everyone happily.",Maya taught many students recently.,student,many students,3,yes,Maya,proper_name,,,5,35,8,7,2,5.02,A2,5.5,4.5,0,0,0,2051,3312,A,4.0,,20.0,,prime: newcomers→everyone happily; adv: today→recently; name: Sara→Maya
P027U,P027,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"In her new class, Maya welcomed everyone happily.",Maya taught much students recently.,student,much students,3,no,Maya,proper_name,,,5,35,8,7,2,5.02,A2,5.5,4.5,0,0,0,2051,3312,B,,2.0,,5.0,prime: newcomers→everyone happily; adv: today→recently; name: Sara→Maya
P028G,P028,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the picnic, Owen prepared the supplies.",Owen filled many baskets quickly.,basket,many baskets,3,yes,Owen,proper_name,,,5,33,7,6,2,4.07,B2,4.5,5.0,2,0,0,2051,2942,A,2.0,,2.0,,name: Noah→Owen
P028U,P028,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the picnic, Owen prepared the supplies.",Owen filled much baskets quickly.,basket,much baskets,3,no,Owen,proper_name,,,5,33,7,6,2,4.07,B2,4.5,5.0,2,0,0,2051,2942,B,,4.0,,31.0,name: Noah→Owen
P029G,P029,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the wedding, Nora organized the hall.",Nora decorated many tables beautifully.,table,many tables,3,yes,Nora,proper_name,,,5,39,7,5,2,5.05,A2,3.5,5.0,2,0,0,2051,2942,A,1.0,,14.0,,prime: venue→hall; name: Lena→Nora
P029U,P029,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the wedding, Nora organized the hall.",Nora decorated much tables beautifully.,table,much tables,3,no,Nora,proper_name,,,5,39,7,5,2,5.05,A2,3.5,5.0,2,0,0,2051,2942,B,,1.0,,25.0,prime: venue→hall; name: Lena→Nora
P030G,P030,G,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the recycling project, Sara collected materials.",Sara recycled many bottles yesterday.,bottle,many bottles,3,yes,Sara,proper_name,,,5,37,7,6,2,4.57,B1,4.0,5.0,2,0,0,2051,2942,A,2.0,,9.0,,name: Emma→Sara
P030U,P030,U,critical,F05,count_noun_many_much,conc_count+many/much,100010,"For the recycling project, Sara collected materials.",Sara recycled much bottles yesterday.,bottle,much bottles,3,no,Sara,proper_name,,,5,37,7,6,2,4.57,B1,4.0,5.0,2,0,0,2051,2942,B,,3.0,,29.0,name: Emma→Sara
P031G,P031,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"When facing the problem, Nora asked her teacher.",Nora received some helpful advice.,advice,some helpful advice,3,yes,Nora,proper_name,,,5,34,8,6,2,4.88,B1,7.0,2.0,2,0,0,2051,3312,A,3.0,,33.0,,prime: mentor→teacher
P031U,P031,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"When facing the problem, Nora asked her teacher.",Nora received a helpful advice.,advice,a helpful advice,3,no,Nora,proper_name,,,5,31,8,6,2,4.88,B1,7.0,2.0,2,0,0,2051,3312,B,,1.0,,7.0,prime: mentor→teacher
P032G,P032,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"Before the difficult exam, Ren searched online thoroughly.",Ren discovered some valuable information.,information,some valuable information,3,yes,Ren,proper_name,,,5,41,8,11,4,5.43,A2,7.5,2.0,2,0,0,2051,3312,A,4.0,,4.0,,LEMMA: kindness→information; name: Owen→Ren
P032U,P032,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"Before the difficult exam, Ren searched online thoroughly.",Ren discovered a valuable information.,information,a valuable information,3,no,Ren,proper_name,,,5,38,8,11,4,5.43,A2,7.5,2.0,2,0,0,2051,3312,B,,3.0,,13.0,LEMMA: kindness→information; name: Owen→Ren
P033G,P033,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"Through her detective work, Sara investigated the case.",Sara presented some new evidence.,evidence,some new evidence,3,yes,Sara,proper_name,,,5,33,8,8,3,5.14,A2,10.5,2.5,0,0,0,2051,3312,A,2.0,,30.0,,LEMMA: wisdom→evidence
P033U,P033,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"Through her detective work, Sara investigated the case.",Sara presented a new evidence.,evidence,a new evidence,3,no,Sara,proper_name,,,5,30,8,8,3,5.14,A2,10.5,2.5,0,0,0,2051,3312,B,,2.0,,8.0,LEMMA: wisdom→evidence
P034G,P034,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"About the mistake, Aiden told the truth.",Aiden showed some clear honesty.,honesty,some clear honesty,3,yes,Aiden,proper_name,,,5,32,7,7,2,3.99,C1,8.0,1.8,0,0,0,2051,2942,A,3.0,,23.0,,prime: confessed→told the truth; name: Noah→Aiden
P034U,P034,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"About the mistake, Aiden told the truth.",Aiden showed a clear honesty.,honesty,a clear honesty,3,no,Aiden,proper_name,,,5,29,7,7,2,3.99,C1,8.0,1.8,0,0,0,2051,2942,B,,4.0,,28.0,prime: confessed→told the truth; name: Noah→Aiden
P035G,P035,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"After her presentation, Lena talked with her teacher.",Lena got some honest guidance.,guidance,some honest feedback,3,yes,Lena,proper_name,,,5,30,8,8,2,4.85,B1,8.0,2.0,0,0,0,2051,3312,A,1.0,,10.0,,LEMMA: anger→feedback; prime: supervisor→teacher
P035U,P035,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"After her presentation, Lena talked with her teacher.",Lena got an honest guidance.,guidance,an honest feedback,3,no,Lena,proper_name,,,5,28,8,8,2,4.85,B1,8.0,2.0,0,0,0,2051,3312,B,,3.0,,31.0,LEMMA: anger→feedback; prime: supervisor→teacher
P036G,P036,G,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"On the quiet Sunday afternoon, Ethan relaxed completely.",Ethan had some real leisure.,leisure,some real leisure,3,yes,Ethan,proper_name,,,5,28,8,7,1,3.92,C1,9.0,2.5,2,1,0,2051,3312,A,2.0,,25.0,,LEMMA: sadness→leisure; name: Emma→Ethan
P036U,P036,U,critical,F06,noncount_indefinite_article,abs_mass+a_some,101000,"On the quiet Sunday afternoon, Ethan relaxed completely.",Ethan had a real leisure.,leisure,a real leisure,3,no,Ethan,proper_name,,,5,25,8,7,1,3.92,C1,9.0,2.5,2,1,0,2051,3312,B,,2.0,,1.0,LEMMA: sadness→leisure; name: Emma→Ethan
P037G,P037,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"At the concert, Yuki enjoyed the performance deeply.",Yuki heard wonderful music yesterday.,music,music,4,yes,Yuki,proper_name,,,5,37,8,5,2,5.52,A1,4.5,3.0,1,0,0,2051,3312,A,3.0,,25.0,,name: Maya→Yuki
P037U,P037,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"At the concert, Yuki enjoyed the performance deeply.",Yuki heard wonderful musics yesterday.,music,musics,4,no,Yuki,proper_name,,,5,38,8,5,2,5.52,A1,4.5,3.0,1,0,0,2051,3312,B,,3.0,,11.0,name: Maya→Yuki
P038G,P038,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"During rush hour, Kenji drove home slowly.",Kenji experienced heavy traffic daily.,traffic,traffic,4,yes,Kenji,proper_name,,,5,38,7,7,2,4.85,B1,5.5,3.5,1,0,0,2051,2942,A,3.0,,13.0,,adv: today→daily; name: Owen→Kenji
P038U,P038,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"During rush hour, Kenji drove home slowly.",Kenji experienced heavy traffics daily.,traffic,traffics,4,no,Kenji,proper_name,,,5,39,7,7,2,4.85,B1,5.5,3.5,1,0,0,2051,2942,B,,4.0,,26.0,adv: today→daily; name: Owen→Kenji
P039G,P039,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"During the storm, Maya stayed inside carefully.",Maya watched terrible weather lately.,weather,weather,4,yes,Maya,proper_name,,,5,37,7,7,2,4.87,B1,4.5,3.5,0,0,0,2051,2942,A,1.0,,2.0,,adv: yesterday→lately; name: Sara→Maya
P039U,P039,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"During the storm, Maya stayed inside carefully.",Maya watched terrible weathers lately.,weather,weathers,4,no,Maya,proper_name,,,5,38,7,7,2,4.87,B1,4.5,3.5,0,0,0,2051,2942,B,,1.0,,5.0,adv: yesterday→lately; name: Sara→Maya
P040G,P040,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"On the mountain road, Tyler enjoyed the views.",Tyler admired beautiful scenery recently.,scenery,scenery,4,yes,Tyler,proper_name,,,5,41,8,7,1,3.68,C1,8.0,4.0,0,0,0,2051,3312,A,4.0,,31.0,,LEMMA: mail→scenery; name: Noah→Tyler
P040U,P040,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"On the mountain road, Tyler enjoyed the views.",Tyler admired beautiful sceneries recently.,scenery,sceneries,4,no,Tyler,proper_name,,,5,43,8,7,1,3.68,C1,8.0,4.0,0,0,0,2051,3312,B,,3.0,,2.0,LEMMA: mail→scenery; name: Noah→Tyler
P041G,P041,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"Before bedtime, Emma finished her assignments.",Emma completed difficult homework briefly.,homework,homework,4,yes,Emma,proper_name,,,5,42,6,8,2,4.13,B2,5.5,3.0,0,0,0,2051,2572,A,4.0,,1.0,,adv: yesterday→briefly; name: Lena→Emma
P041U,P041,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"Before bedtime, Emma finished her assignments.",Emma completed difficult homeworks briefly.,homework,homeworks,4,no,Emma,proper_name,,,5,43,6,8,2,4.13,B2,5.5,3.0,0,0,0,2051,2572,B,,4.0,,6.0,adv: yesterday→briefly; name: Lena→Emma
P042G,P042,G,critical,F07,noncount_plural_error,abs_mass+plural,100100,"Before the contest, Leo wished for success.",Leo needed good luck today.,luck,luck,4,yes,Leo,proper_name,,,5,27,7,4,1,4.91,B1,5.5,1.8,0,0,0,2051,2942,A,2.0,,22.0,,name: Emma→Leo
P042U,P042,U,critical,F07,noncount_plural_error,abs_mass+plural,100100,"Before the contest, Leo wished for success.",Leo needed good lucks today.,luck,lucks,4,no,Leo,proper_name,,,5,28,7,4,1,4.91,B1,5.5,1.8,0,0,0,2051,2942,B,,2.0,,26.0,name: Emma→Leo
P043G,P043,G,critical,F08,count_to_mass_food_context,count2mass_food,110010,Emma cooked the soft vegetable in the soup.,Emma used too much carrot.,carrot,much carrot,4,yes,Emma,proper_name,,,5,26,8,6,2,3.62,C1,4.0,5.0,0,0,1,2051,3162,B,,2.0,,16.0,prime: grating→cooked-soft; name: Maya→Emma
